beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
11.0,1,0,23,0,0,10,0,1,0,10,0
11.0,1,0,8,0,0,10,0,0,1,10,0
11.0,1,0,3,0,0,10,0,0,0,11,0
11.0,1,0,1,0,0,10,0,0,0,10,1
11.0,1,1,24,0,0,10,1,1,0,10,1
11.0,1,1,9,0,0,10,1,0,1,10,1
11.0,1,1,4,0,0,10,1,0,0,11,1
11.0,1,1,2,0,0,10,1,0,0,10,2
11.0,1,2,25,0,0,10,2,1,0,10,2
11.0,1,2,5,0,0,10,2,0,0,11,2
11.0,1,3,26,0,0,11,0,1,0,11,0
11.0,1,3,10,0,0,11,0,0,1,11,0
11.0,1,3,4,0,0,11,0,0,0,11,1
11.0,1,4,27,0,0,11,1,1,0,11,1
11.0,1,4,11,0,0,11,1,0,1,11,1
11.0,1,4,5,0,0,11,1,0,0,11,2
11.0,1,5,28,0,0,11,2,1,0,11,2
11.0,1,5,12,0,0,11,2,0,1,11,2
11.0,1,5,6,0,0,11,2,0,0,11,3
11.0,1,6,29,0,0,11,3,1,0,11,3
11.0,1,7,8,0,1,9,0,0,1,10,0
11.0,1,8,30,0,1,10,0,1,1,10,0
11.0,1,8,10,0,1,10,0,0,1,11,0
11.0,1,8,9,0,1,10,0,0,1,10,1
11.0,1,9,31,0,1,10,1,1,1,10,1
11.0,1,9,11,0,1,10,1,0,1,11,1
11.0,1,10,33,0,1,11,0,1,1,11,0
11.0,1,10,11,0,1,11,0,0,1,11,1
11.0,1,11,34,0,1,11,1,1,1,11,1
11.0,1,11,12,0,1,11,1,0,1,11,2
11.0,1,12,35,0,1,11,2,1,1,11,2
11.0,1,13,14,0,3,0,0,0,4,0,0
11.0,1,14,15,0,4,0,0,0,4,1,0
11.0,1,17,18,0,7,11,9,0,8,11,9
11.0,1,19,21,0,10,0,2,0,11,0,2
11.0,1,20,21,0,11,0,1,0,11,0,2
11.0,1,21,22,0,11,0,2,0,11,0,3
11.0,1,23,30,1,0,10,0,1,1,10,0
11.0,1,23,26,1,0,10,0,1,0,11,0
11.0,1,23,24,1,0,10,0,1,0,10,1
11.0,1,24,37,1,0,10,1,2,0,10,1
11.0,1,24,31,1,0,10,1,1,1,10,1
11.0,1,24,27,1,0,10,1,1,0,11,1
11.0,1,24,25,1,0,10,1,1,0,10,2
11.0,1,25,38,1,0,10,2,2,0,10,2
11.0,1,25,32,1,0,10,2,1,1,10,2
11.0,1,25,28,1,0,10,2,1,0,11,2
11.0,1,26,40,1,0,11,0,2,0,11,0
11.0,1,26,33,1,0,11,0,1,1,11,0
11.0,1,26,27,1,0,11,0,1,0,11,1
11.0,1,27,41,1,0,11,1,2,0,11,1
11.0,1,27,34,1,0,11,1,1,1,11,1
11.0,1,27,28,1,0,11,1,1,0,11,2
11.0,1,28,42,1,0,11,2,2,0,11,2
11.0,1,28,35,1,0,11,2,1,1,11,2
11.0,1,28,29,1,0,11,2,1,0,11,3
11.0,1,29,43,1,0,11,3,2,0,11,3
11.0,1,30,33,1,1,10,0,1,1,11,0
11.0,1,30,31,1,1,10,0,1,1,10,1
11.0,1,31,45,1,1,10,1,2,1,10,1
11.0,1,31,34,1,1,10,1,1,1,11,1
11.0,1,31,32,1,1,10,1,1,1,10,2
11.0,1,32,46,1,1,10,2,2,1,10,2
11.0,1,32,35,1,1,10,2,1,1,11,2
11.0,1,33,34,1,1,11,0,1,1,11,1
11.0,1,34,47,1,1,11,1,2,1,11,1
11.0,1,34,35,1,1,11,1,1,1,11,2
11.0,1,35,48,1,1,11,2,2,1,11,2
11.0,1,37,57,2,0,10,1,3,0,10,1
11.0,1,37,45,2,0,10,1,2,1,10,1
11.0,1,37,41,2,0,10,1,2,0,11,1
11.0,1,37,38,2,0,10,1,2,0,10,2
