node_id,x,y,z,t,beta,seed,crit_value,degree
0,0,0,6,0,10.0,2,1.682292487559676,1
1,0,0,8,7,10.0,2,1.6941253910796488,1
2,0,0,8,8,10.0,2,1.9580782301326565,1
3,0,0,9,2,10.0,2,1.7307235433296384,1
4,0,0,10,11,10.0,2,2.1072843284849037,2
5,0,0,11,7,10.0,2,2.001559548432161,2
6,0,0,11,8,10.0,2,2.399761512855613,4
7,0,0,11,9,10.0,2,1.8165586861947807,3
8,0,0,11,10,10.0,2,2.2453102002661773,3
9,0,0,11,11,10.0,2,3.600114381895354,4
10,0,1,6,0,10.0,2,1.810773605225665,2
11,0,1,8,1,10.0,2,1.837240262501194,3
12,0,1,8,2,10.0,2,1.7913366988692132,3
13,0,1,9,0,10.0,2,1.7154536571311496,2
14,0,1,9,1,10.0,2,2.433207074995636,5
15,0,1,9,2,10.0,2,2.487233512646039,7
16,0,1,9,3,10.0,2,1.7399385764724666,3
17,0,1,10,1,10.0,2,1.9432278753173726,3
18,0,1,10,2,10.0,2,2.119684939329509,3
19,0,1,10,11,10.0,2,1.7157111414362662,2
20,0,1,11,7,10.0,2,1.9524895052113524,2
21,0,1,11,8,10.0,2,2.5003297275230727,3
22,0,1,11,9,10.0,2,1.9170577072235497,3
23,0,1,11,10,10.0,2,2.078035912970771,3
24,0,1,11,11,10.0,2,2.9995278922561597,4
25,0,2,8,0,10.0,2,1.8189333404808663,2
26,0,2,8,1,10.0,2,2.241175732739131,4
27,0,2,8,2,10.0,2,2.1138022789444175,5
28,0,2,8,3,10.0,2,1.713439681879276,3
29,0,2,9,0,10.0,2,2.5373392120155427,5
30,0,2,9,1,10.0,2,2.9811832690321953,7
31,0,2,9,2,10.0,2,2.546376859251872,6
32,0,2,9,3,10.0,2,1.7052742884960077,4
33,0,2,10,0,10.0,2,2.007381800322494,3
34,0,2,10,1,10.0,2,2.1809727134745684,5
35,0,2,10,2,10.0,2,1.8731147067173057,3
36,0,3,9,0,10.0,2,2.823747637500714,4
37,0,3,9,1,10.0,2,2.333718958940506,4
38,0,3,10,0,10.0,2,3.174300180547881,5
39,0,3,10,1,10.0,2,2.1074226786995456,4
40,0,3,11,0,10.0,2,2.0112943768079354,2
41,0,4,3,11,10.0,2,1.6944506800313468,0
42,0,4,9,0,10.0,2,2.836456626378965,4
43,0,4,9,1,10.0,2,1.6954552136168646,3
44,0,4,10,0,10.0,2,3.9422767495955573,6
45,0,4,10,1,10.0,2,2.065985467700449,3
46,0,4,11,0,10.0,2,2.7555267008878146,3
47,0,5,6,2,10.0,2,1.6613648599924888,0
48,0,5,9,0,10.0,2,1.8575314333144959,2
49,0,5,10,0,10.0,2,2.5065102100161583,3
50,0,5,11,0,10.0,2,1.7878215071455845,2
51,0,6,0,0,10.0,2,1.8426321065337574,2
52,0,7,0,0,10.0,2,2.680890021041635,4
53,0,7,0,1,10.0,2,2.290034227316702,2
54,0,8,0,0,10.0,2,1.7307246138618373,2
55,0,8,8,2,10.0,2,1.6939987094880056,1
56,0,9,7,2,10.0,2,1.6805933854957227,1
57,0,9,8,1,10.0,2,1.857297309742302,1
58,0,9,8,2,10.0,2,2.3409131157201273,3
59,0,11,2,3,10.0,2,2.323720750176877,2
60,0,11,2,4,10.0,2,2.1945228762425493,2
61,0,11,3,3,10.0,2,2.631699499256216,2
62,0,11,3,4,10.0,2,2.485502830018784,2
63,1,0,11,8,10.0,2,1.7539123079190195,2
64,1,0,11,11,10.0,2,2.1438824549092255,2
65,1,1,6,0,10.0,2,1.774328248881354,1
66,1,1,9,2,10.0,2,2.0065761348373825,3
67,1,1,9,3,10.0,2,1.7191698391875196,3
68,1,1,11,11,10.0,2,1.918472414413228,2
69,1,2,8,2,10.0,2,1.8611097539284704,3
70,1,2,8,3,10.0,2,1.8727795752955638,3
71,1,2,9,1,10.0,2,1.7915930415762198,2
72,1,2,9,2,10.0,2,1.9252219410933082,5
73,1,2,9,3,10.0,2,1.7176188337831568,4
74,1,4,10,0,10.0,2,1.9136763973203041,1
75,1,6,0,0,10.0,2,1.7450831961900604,2
76,1,7,0,0,10.0,2,2.4892145980267406,4
77,1,7,0,1,10.0,2,2.3230748326629467,2
78,1,8,0,0,10.0,2,1.6903280494158652,2
79,1,11,11,8,10.0,2,1.8746432194390317,3
80,1,11,11,9,10.0,2,2.1881592310813907,2
81,2,2,11,4,10.0,2,1.8033818957349115,3
82,2,2,11,5,10.0,2,1.991124564026557,3
83,2,3,10,4,10.0,2,1.695043982575083,2
84,2,3,11,4,10.0,2,1.8819250585703364,4
85,2,3,11,5,10.0,2,1.7175314092479006,3
86,2,10,2,0,10.0,2,1.6664496063900673,1
87,2,10,11,9,10.0,2,1.9629234942026215,2
88,2,10,11,10,10.0,2,1.8430021407405506,3
89,2,10,11,11,10.0,2,1.841798121608609,1
90,2,11,10,9,10.0,2,1.9314948445417282,1
91,2,11,11,8,10.0,2,2.2508234074651003,2
92,2,11,11,9,10.0,2,2.9575254963800024,6
93,2,11,11,10,10.0,2,2.1917910244465992,2
94,3,0,3,10,10.0,2,1.7501206692575781,0
95,3,1,11,5,10.0,2,1.9930656615890432,1
96,3,2,10,4,10.0,2,1.7751421028446626,3
97,3,2,10,5,10.0,2,1.900639843568035,2
98,3,2,11,4,10.0,2,2.2229324222201554,4
99,3,2,11,5,10.0,2,2.731999270685143,7
100,3,2,11,6,10.0,2,1.7694594434061985,1
101,3,3,10,4,10.0,2,1.6774358860130456,3
102,3,3,11,4,10.0,2,2.072375910947896,4
103,3,3,11,5,10.0,2,2.158865273863803,3
104,3,9,0,7,10.0,2,1.8408101235760035,1
105,3,10,1,0,10.0,2,1.8208091571727818,1
106,3,10,2,0,10.0,2,2.0500915970536675,3
107,3,11,2,0,10.0,2,1.6944096181226564,1
108,3,11,11,9,10.0,2,1.7793716677675484,1
109,4,2,11,5,10.0,2,1.7664663530344258,1
110,4,5,11,11,10.0,2,1.9362152397544319,0
111,4,8,0,7,10.0,2,1.7340588018158256,1
112,4,9,0,6,10.0,2,1.7168532528405585,1
113,4,9,0,7,10.0,2,2.331083436167326,3
114,4,9,8,0,10.0,2,1.7986350058353346,2
115,4,9,9,0,10.0,2,1.7669699463730255,1
116,5,0,0,5,10.0,2,1.7351890196522899,1
117,5,0,1,5,10.0,2,2.017945042296303,1
118,5,0,7,11,10.0,2,1.7532343159812191,1
119,5,2,2,2,10.0,2,1.6672909211298363,2
120,5,3,2,2,10.0,2,1.9896577896676524,2
121,5,3,11,9,10.0,2,1.9923116128173852,1
122,5,4,11,9,10.0,2,1.9208216125430833,1
123,5,9,5,10,10.0,2,1.6976947571362615,2
124,5,9,7,2,10.0,2,1.7508559459090296,0
125,5,9,8,0,10.0,2,1.7584937020265827,1
126,5,10,5,10,10.0,2,1.7116970423662425,2
127,5,11,3,5,10.0,2,1.6907210149638472,1
128,5,11,3,6,10.0,2,2.0237688259975983,1
129,6,0,7,11,10.0,2,1.8666514288426523,1
130,6,2,2,2,10.0,2,1.9980503218432166,2
131,6,3,1,2,10.0,2,1.7110594673945676,1
132,6,3,2,1,10.0,2,1.90543852960092,1
133,6,3,2,2,10.0,2,2.6835470972559827,8
134,6,3,2,3,10.0,2,1.8869407512903758,1
135,6,3,3,2,10.0,2,1.9702795274600324,1
136,6,3,6,5,10.0,2,1.66132043576107,1
137,6,4,2,2,10.0,2,1.9133024483070857,1
138,6,4,6,5,10.0,2,1.8835364509225754,1
139,6,9,5,10,10.0,2,1.8642493295596467,2
140,6,10,5,10,10.0,2,1.7211458194233757,2
141,7,3,2,2,10.0,2,1.882323036051551,1
142,7,8,11,1,10.0,2,1.7735799751181947,0
143,7,9,0,1,10.0,2,1.8569422042328059,3
144,7,9,1,0,10.0,2,1.85706365548821,3
145,7,9,1,1,10.0,2,2.3117759654549417,6
146,7,9,1,2,10.0,2,1.8209160217610192,2
147,7,9,2,1,10.0,2,1.7462658579233434,2
148,7,9,2,2,10.0,2,1.914784100488903,2
149,7,9,3,3,10.0,2,1.9019516818145865,0
150,7,10,0,1,10.0,2,1.8212873619610037,3
151,7,10,1,0,10.0,2,1.8651674597138113,3
152,7,10,1,1,10.0,2,2.116616084137538,4
153,8,0,0,11,10.0,2,1.8962278802761972,0
154,8,6,11,7,10.0,2,1.8136587562914939,1
155,8,6,11,8,10.0,2,2.125125985084417,2
156,8,7,11,8,10.0,2,1.6784677826902727,1
157,8,9,0,1,10.0,2,1.733976397429035,3
158,8,9,1,0,10.0,2,1.7408965437040738,3
159,8,9,1,1,10.0,2,2.097540363201987,4
160,8,10,0,0,10.0,2,1.7531098579643278,2
161,8,10,0,1,10.0,2,2.0163234703704296,4
162,8,10,1,0,10.0,2,2.0658087373530885,4
163,8,10,1,1,10.0,2,2.313184119668447,4
164,9,2,5,8,10.0,2,2.1479280163755017,1
165,9,2,5,9,10.0,2,1.7851200854315459,2
166,9,4,7,1,10.0,2,1.8628993927879143,1
167,9,5,8,2,10.0,2,1.7576386395752186,0
168,9,6,10,6,10.0,2,1.68516251120569,0
169,10,0,0,7,10.0,2,1.7246993100095869,2
170,10,0,0,8,10.0,2,2.375560141257016,2
171,10,2,5,9,10.0,2,1.657344096151128,1
172,10,4,7,1,10.0,2,2.1318404417872334,2
173,10,4,8,1,10.0,2,1.6778349310231646,1
174,10,6,11,1,10.0,2,1.7618510746632943,0
175,10,6,11,5,10.0,2,1.8068360701224369,1
176,10,10,0,10,10.0,2,1.7371913220828987,3
177,10,10,0,11,10.0,2,1.8597666940047393,3
178,10,11,0,10,10.0,2,1.924526905320278,3
179,10,11,0,11,10.0,2,2.313186793284146,3
180,10,11,8,0,10.0,2,1.8820418459880879,0
181,11,0,0,7,10.0,2,3.142159234131198,3
182,11,0,0,8,10.0,2,4.618025086408536,5
183,11,0,0,9,10.0,2,2.804517747625398,1
184,11,0,1,7,10.0,2,1.7846678835755405,2
185,11,0,1,8,10.0,2,2.488857609062212,2
186,11,1,0,8,10.0,2,2.3758514475527828,1
187,11,3,0,4,10.0,2,1.7204088065345913,0
188,11,3,4,11,10.0,2,1.6835556395855176,0
189,11,6,11,5,10.0,2,1.8577094923878983,1
190,11,8,8,8,10.0,2,1.7670728328575154,1
