beta,seed,u_id,v_id,u_x,u_y,u_z,u_t,v_x,v_y,v_z,v_t
9.0,1,0,38,0,0,0,0,1,0,0,0
9.0,1,0,5,0,0,0,0,0,1,0,0
9.0,1,0,2,0,0,0,0,0,0,1,0
9.0,1,0,1,0,0,0,0,0,0,0,1
9.0,1,1,3,0,0,0,1,0,0,1,1
9.0,1,2,39,0,0,1,0,1,0,1,0
9.0,1,2,3,0,0,1,0,0,0,1,1
9.0,1,4,41,0,0,11,8,1,0,11,8
9.0,1,6,46,0,3,0,11,1,3,0,11
9.0,1,6,9,0,3,0,11,0,4,0,11
9.0,1,8,49,0,4,0,10,1,4,0,10
9.0,1,8,9,0,4,0,10,0,4,0,11
9.0,1,9,50,0,4,0,11,1,4,0,11
9.0,1,9,12,0,4,0,11,0,5,0,11
9.0,1,9,10,0,4,0,11,0,4,1,11
9.0,1,10,51,0,4,1,11,1,4,1,11
9.0,1,11,13,0,5,0,0,0,6,0,0
9.0,1,12,53,0,5,0,11,1,5,0,11
9.0,1,12,11,0,5,0,11,0,5,0,0
9.0,1,14,16,0,8,2,4,0,9,2,4
9.0,1,15,16,0,9,2,3,0,9,2,4
9.0,1,16,54,0,9,2,4,1,9,2,4
9.0,1,16,23,0,9,2,4,0,10,2,4
9.0,1,16,18,0,9,2,4,0,9,3,4
9.0,1,16,17,0,9,2,4,0,9,2,5
9.0,1,17,55,0,9,2,5,1,9,2,5
9.0,1,20,21,0,10,0,0,0,10,0,1
9.0,1,21,28,0,10,0,1,0,11,0,1
9.0,1,21,22,0,10,0,1,0,10,0,2
9.0,1,22,29,0,10,0,2,0,11,0,2
9.0,1,24,58,0,10,5,0,1,10,5,0
9.0,1,24,30,0,10,5,0,0,11,5,0
9.0,1,24,25,0,10,5,0,0,10,6,0
9.0,1,25,59,0,10,6,0,1,10,6,0
9.0,1,25,32,0,10,6,0,0,11,6,0
9.0,1,25,27,0,10,6,0,0,10,7,0
9.0,1,25,26,0,10,6,0,0,10,6,1
9.0,1,26,33,0,10,6,1,0,11,6,1
9.0,1,27,60,0,10,7,0,1,10,7,0
9.0,1,27,35,0,10,7,0,0,11,7,0
9.0,1,28,1,0,11,0,1,0,0,0,1
9.0,1,28,29,0,11,0,1,0,11,0,2
9.0,1,30,61,0,11,5,0,1,11,5,0
9.0,1,30,32,0,11,5,0,0,11,6,0
9.0,1,30,31,0,11,5,0,0,11,5,1
9.0,1,31,33,0,11,5,1,0,11,6,1
9.0,1,32,62,0,11,6,0,1,11,6,0
9.0,1,32,35,0,11,6,0,0,11,7,0
9.0,1,32,33,0,11,6,0,0,11,6,1
9.0,1,33,63,0,11,6,1,1,11,6,1
9.0,1,33,36,0,11,6,1,0,11,7,1
9.0,1,33,34,0,11,6,1,0,11,6,2
9.0,1,34,37,0,11,6,2,0,11,7,2
9.0,1,35,64,0,11,7,0,1,11,7,0
9.0,1,35,36,0,11,7,0,0,11,7,1
9.0,1,36,65,0,11,7,1,1,11,7,1
9.0,1,36,37,0,11,7,1,0,11,7,2
9.0,1,38,66,1,0,0,0,2,0,0,0
9.0,1,38,39,1,0,0,0,1,0,1,0
9.0,1,40,41,1,0,11,7,1,0,11,8
9.0,1,41,67,1,0,11,8,2,0,11,8
9.0,1,41,42,1,0,11,8,1,0,11,9
9.0,1,43,69,1,3,0,0,2,3,0,0
9.0,1,43,47,1,3,0,0,1,4,0,0
9.0,1,44,72,1,3,0,3,2,3,0,3
9.0,1,45,49,1,3,0,10,1,4,0,10
9.0,1,45,46,1,3,0,10,1,3,0,11
9.0,1,46,73,1,3,0,11,2,3,0,11
9.0,1,46,50,1,3,0,11,1,4,0,11
9.0,1,46,43,1,3,0,11,1,3,0,0
9.0,1,47,74,1,4,0,0,2,4,0,0
9.0,1,47,48,1,4,0,0,1,4,0,1
9.0,1,48,75,1,4,0,1,2,4,0,1
9.0,1,49,52,1,4,0,10,1,5,0,10
9.0,1,49,50,1,4,0,10,1,4,0,11
9.0,1,50,76,1,4,0,11,2,4,0,11
9.0,1,50,53,1,4,0,11,1,5,0,11
9.0,1,50,51,1,4,0,11,1,4,1,11
9.0,1,50,47,1,4,0,11,1,4,0,0
9.0,1,52,53,1,5,0,10,1,5,0,11
9.0,1,53,77,1,5,0,11,2,5,0,11
9.0,1,54,55,1,9,2,4,1,9,2,5
9.0,1,55,56,1,9,2,5,1,9,3,5
9.0,1,57,81,1,9,11,11,2,9,11,11
9.0,1,58,61,1,10,5,0,1,11,5,0
9.0,1,58,59,1,10,5,0,1,10,6,0
9.0,1,59,62,1,10,6,0,1,11,6,0
9.0,1,59,60,1,10,6,0,1,10,7,0
9.0,1,60,64,1,10,7,0,1,11,7,0
9.0,1,61,62,1,11,5,0,1,11,6,0
9.0,1,62,64,1,11,6,0,1,11,7,0
9.0,1,62,63,1,11,6,0,1,11,6,1
9.0,1,63,65,1,11,6,1,1,11,7,1
9.0,1,64,65,1,11,7,0,1,11,7,1
9.0,1,68,69,2,2,0,0,2,3,0,0
